Array,z_m,SSIM,VolumeMeanSSIM
Array1 (2x3),0,0.480335814618178,0.412126915935128
Array1 (2x3),0.01,0.465103394895542,0.412126915935128
Array1 (2x3),0.02,0.492100556291209,0.412126915935128
Array1 (2x3),0.03,0.45771862132322,0.412126915935128
Array1 (2x3),0.04,0.481383894180803,0.412126915935128
Array1 (2x3),0.05,0.469468967908262,0.412126915935128
Array1 (2x3),0.06,0.341629238030393,0.412126915935128
Array1 (2x3),0.07,0.353936780172037,0.412126915935128
Array1 (2x3),0.08,0.20283252991772,0.412126915935128
Array1 (2x3),0.09,0.354086750517084,0.412126915935128
Array1 (2x3),0.1,0.34202650703756,0.412126915935128
Array1 (2x3),0.11,0.289633787833042,0.412126915935128
Array1 (2x3),0.12,0.367168915197044,0.412126915935128
Array1 (2x3),0.13,0.50547590554068,0.412126915935128
Array1 (2x3),0.14,0.501835641297977,0.412126915935128
Array1 (2x3),0.15,0.489293350201293,0.412126915935128
Array2 (1x6),0,0.57232469778732,0.458493355643326
Array2 (1x6),0.01,0.459904588146534,0.458493355643326
Array2 (1x6),0.02,0.53861977651861,0.458493355643326
Array2 (1x6),0.03,0.497188765927317,0.458493355643326
Array2 (1x6),0.04,0.481176169405324,0.458493355643326
Array2 (1x6),0.05,0.441601436805588,0.458493355643326
Array2 (1x6),0.06,0.427391154646747,0.458493355643326
Array2 (1x6),0.07,0.416403012126461,0.458493355643326
Array2 (1x6),0.08,0.390491776218473,0.458493355643326
Array2 (1x6),0.09,0.428015788197328,0.458493355643326
Array2 (1x6),0.1,0.404549525031387,0.458493355643326
Array2 (1x6),0.11,0.400169778998189,0.458493355643326
Array2 (1x6),0.12,0.456798978260085,0.458493355643326
Array2 (1x6),0.13,0.46297784197266,0.458493355643326
Array2 (1x6),0.14,0.484373419189926,0.458493355643326
Array2 (1x6),0.15,0.473906981061269,0.458493355643326
